Sample,lon,lat
24348,NA,NA
24419,NA,NA
24559,NA,NA
24591,NA,NA
24593,NA,NA
24599,NA,NA
24605,NA,NA
24630,NA,NA
24646,NA,NA
24785,NA,NA
24788,NA,NA
24831,NA,NA
24837,NA,NA
24977,NA,NA
25079,NA,NA
25108,NA,NA
25113,NA,NA
25115,NA,NA
25130,NA,NA
25134,NA,NA
25153,NA,NA
25171,NA,NA
25190,NA,NA
25202,NA,NA
25245,NA,NA
25273,NA,NA
25319,NA,NA
25390,NA,NA
25400,NA,NA
25445,NA,NA
25491,NA,NA
25499,NA,NA
25515,NA,NA
25577,NA,NA
25592,NA,NA
25636,NA,NA
25643,NA,NA
25666,NA,NA
25698,NA,NA
25752,NA,NA
25786,NA,NA
25834,NA,NA
25893,NA,NA
25894,NA,NA
25899,NA,NA
25913,NA,NA
25920,NA,NA
25936,NA,NA
25968,NA,NA
25976,NA,NA
25989,NA,NA
26019,NA,NA
26031,NA,NA
26044,NA,NA
26062,NA,NA
26114,NA,NA
26140,NA,NA
26170,NA,NA
26203,NA,NA
26237,NA,NA
26340,NA,NA
26344,NA,NA
26353,NA,NA
26375,NA,NA
26396,NA,NA
26407,NA,NA
26412,NA,NA
26463,NA,NA
26471,NA,NA
26494,NA,NA
26497,NA,NA
26500,NA,NA
26510,NA,NA
26537,NA,NA
26548,NA,NA
26564,NA,NA
26573,NA,NA
26575,NA,NA
26578,NA,NA
26579,NA,NA
3525,NA,NA
3625,NA,NA
5-039,NA,NA
5-189,NA,NA
5248710,NA,NA
5280430,NA,NA
5-297,NA,NA
5307351,NA,NA
5311370,NA,NA
5406022,NA,NA
5-592,NA,NA
5710569,NA,NA
5713652,NA,NA
5715910,NA,NA
5722089,NA,NA
5727354,NA,NA
5745484,NA,NA
5755567,NA,NA
5758766,NA,NA
5764163,NA,NA
5767737,NA,NA
5774536,NA,NA
5774538,NA,NA
5774538-B,NA,NA
5786437,NA,NA
5813167,NA,NA
5829191,NA,NA
5841697,NA,NA
5847060,NA,NA
5848211,NA,NA
5848332,NA,NA
5854681,NA,NA
5861322,NA,NA
5861324,NA,NA
5864512,NA,NA
5871597,NA,NA
5872979,NA,NA
5884339,NA,NA
5884375,NA,NA
5893715,NA,NA
5896677,NA,NA
5896682,NA,NA
5899486,NA,NA
5906101,NA,NA
AL18099,NA,NA
ALCJ1801,NA,NA
AT23002,NA,NA
AT23018,NA,NA
AT231024,NA,NA
AT2331,NA,NA
BL1904,NA,NA
BL2009,NA,NA
BL2012,NA,NA
BL206,NA,NA
DJ0122,NA,NA
DJ0422,NA,NA
DJ0521,NA,NA
DJ0522,NA,NA
DJ0622,NA,NA
DJ0720,NA,NA
DJ1022,NA,NA
DJ1322,NA,NA
DJ1922,NA,NA
DJ2005,NA,NA
DJ2022,NA,NA
DJ2122,NA,NA
DJ3022,NA,NA
DJ4622,NA,NA
DJ4722,NA,NA
E093,NA,NA
E095,NA,NA
E1221,NA,NA
E158,NA,NA
E284,NA,NA
E306,NA,NA
E328,NA,NA
E333,NA,NA
E363,NA,NA
E395,NA,NA
E409,NA,NA
E4509,NA,NA
E462,NA,NA
E474,NA,NA
E478,NA,NA
E535,NA,NA
E595,NA,NA
E596,NA,NA
E611,NA,NA
E629,NA,NA
E650,NA,NA
E654,NA,NA
E675,NA,NA
E706,NA,NA
E919,NA,NA
E931,NA,NA
E941,NA,NA
E987,NA,NA
J1218150,NA,NA
JM2201,NA,NA
JM2301,NA,NA
JM2303,NA,NA
JM2317,NA,NA
JR18146,NA,NA
JR18147,NA,NA
JR18153,NA,NA
JR18154,NA,NA
JR18166,NA,NA
JR18169,NA,NA
JR18176,NA,NA
JR18178,NA,NA
JR18179,NA,NA
JR18183,NA,NA
JR18184,NA,NA
JR18185,NA,NA
JR18215,NA,NA
JR18216,NA,NA
JR18219,NA,NA
JR18220,NA,NA
JR18232,NA,NA
JR18259,NA,NA
JR18260,NA,NA
JR18265,NA,NA
JR18266,NA,NA
JR18269,NA,NA
JR18271,NA,NA
JR1905,NA,NA
JR1919,NA,NA
JR1920,NA,NA
JR1921,NA,NA
JR1935,NA,NA
JR1936,NA,NA
JR1945,NA,NA
JR1946,NA,NA
JR1948,NA,NA
JR1949,NA,NA
JR1950,NA,NA
JR1951,NA,NA
JR1953,NA,NA
JR1956,NA,NA
JR1958,NA,NA
JR1971,NA,NA
JR1977,NA,NA
JR1978,NA,NA
JR1981,NA,NA
JR1984,NA,NA
JR1989,NA,NA
JR1990,NA,NA
JR1991,NA,NA
JR1998,NA,NA
JR1999,NA,NA
JR2005,NA,NA
JW011,NA,NA
JW2009,NA,NA
JW2101,NA,NA
LV0003,NA,NA
LV005,NA,NA
LV1901,NA,NA
SG1909,NA,NA
SG1910,NA,NA
SG1925,NA,NA
